time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-03T22:45:34.610Z,17.9378333333333,-67.0781666666667,11.75,2.04,md,6,259,,0.06,pr,pr71338838,2022-03-03T23:03:22.910Z,"5 km SW of La Parguera, Puerto Rico",earthquake,0.9,0.42,0.124900539346452,4,reviewed,pr,pr
2022-03-03T22:44:26.430Z,17.891,-66.955,10.11,2.15,md,3,268,,0.02,pr,pr71338833,2022-03-03T22:56:36.650Z,"10 km SSW of Guánica, Puerto Rico",earthquake,1.71,2.17,0.132718311464344,3,reviewed,pr,pr
2022-03-03T22:35:54.870Z,17.9865,-67.0303333333333,4.54,2.07,md,3,169,,0.04,pr,pr71338828,2022-03-03T22:48:29.660Z,"2 km NE of La Parguera, Puerto Rico",earthquake,3.11,2.58,0.0382446011506752,3,reviewed,pr,pr
2022-03-03T22:32:57.860Z,33.6953333,-116.7213333,17.46,1.26,ml,41,57,0.01688,0.12,ci,ci40199144,2022-03-04T00:04:25.580Z,"5km S of Idyllwild, CA",earthquake,0.16,0.3,0.216,24,reviewed,ci,ci
2022-03-03T22:30:03.520Z,17.9428333333333,-66.928,14.04,2.37,md,4,216,,0.08,pr,pr71338818,2022-03-03T22:52:35.920Z,"3 km SSW of Guánica, Puerto Rico",earthquake,2.18,0.65,0.128978383408344,2,reviewed,pr,pr
2022-03-03T22:17:09.460Z,17.9521666666667,-66.7463333333333,11.95,1.98,md,8,219,,0.09,pr,pr71338813,2022-03-03T22:44:28.840Z,"5 km SW of Tallaboa, Puerto Rico",earthquake,0.48,0.98,0.145635758901172,6,reviewed,pr,pr
2022-03-03T22:00:11.390Z,33.5133333,-116.506,14.41,0.71,ml,22,56,0.04875,0.13,ci,ci40199120,2022-03-03T23:58:23.674Z,"16km ESE of Anza, CA",earthquake,0.29,0.51,0.111,14,reviewed,ci,ci
2022-03-03T21:51:11.040Z,47.162166666666664,-121.82416666666667,-0.77,0.4,md,9,130,0.04593,0.06,uw,uw61820001,2022-03-03T22:01:47.750Z,"13 km W of Greenwater, Washington",explosion,0.62,31.61,0.1121288696364009,7,reviewed,uw,uw
2022-03-03T21:47:08.850Z,18.8831666666667,-66.6386666666667,23.05,3.3,md,13,245,,0.18,pr,pr71338808,2022-03-04T05:58:50.029Z,"46 km N of Arecibo, Puerto Rico",earthquake,0.83,5.69,0.025111287458832,4,reviewed,pr,pr
2022-03-03T21:47:08.698Z,-26.8252,26.4444,5,3.7,ml,,212,1.957,0.98,us,us6000h1xf,2022-03-04T05:51:03.114Z,"22 km W of Klerksdorp, South Africa",earthquake,4.1,2,0.148,6,reviewed,us,us
2022-03-03T21:37:08.970Z,35.985,-117.7053333,2.73,1.24,ml,19,103,0.05795,0.07,ci,ci40199112,2022-03-03T21:58:34.543Z,"19km ENE of Little Lake, CA",earthquake,0.1,0.13,0.098,12,reviewed,ci,ci
2022-03-03T21:19:36.560Z,38.8293343,-122.8008347,1.85,0.74,md,19,45,0.009341,0.03,nc,nc73700776,2022-03-03T21:26:10.923Z,"7km W of Cobb, CA",earthquake,0.22,0.47,0.13,2,automatic,nc,nc
