time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-02T07:00:16.920Z,44.283,-110.457,4.86,0.66,md,7.0,202.0,0.05431,0.09,uu,uu60483857,2022-03-02T17:39:01.340Z,"66 km SE of West Yellowstone, Montana",earthquake,0.76,0.9,0.286,7.0,reviewed,uu,uu
2022-03-02T01:37:56.040Z,31.4233333,-115.3621667,5.52,3.38,ml,13.0,135.0,0.3621,0.27,ci,ci40197608,2022-03-02T17:38:13.549Z,"91km SSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.36,31.61,0.198,144.0,reviewed,ci,ci
2022-03-02T17:39:19.313Z,60.934,-149.2584,17.7,1.4,ml,,,,0.31,ak,ak0222t64xtn,2022-03-02T17:44:20.867Z,"5 km W of Girdwood, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-03-02T08:15:42.520Z,44.6875,-110.4321667,2.01,0.82,md,8.0,231.0,0.1716,0.19,uu,uu60483877,2022-03-02T17:47:52.450Z,"38 km SSE of Mammoth, Wyoming",earthquake,1.85,1.44,0.613,8.0,reviewed,uu,uu
2022-03-02T07:59:40.100Z,44.2936667,-110.4571667,6.46,0.64,md,6.0,189.0,0.05879,0.08,uu,uu60483872,2022-03-02T17:45:15.920Z,"65 km SE of West Yellowstone, Montana",earthquake,0.6,1.6,0.104,5.0,reviewed,uu,uu
2022-03-02T07:07:47.340Z,44.276,-110.4445,6.23,1.45,md,11.0,198.0,0.06105,0.17,uu,uu60483862,2022-03-02T17:43:10.130Z,"67 km SE of West Yellowstone, Montana",earthquake,1.04,1.12,0.123,10.0,reviewed,uu,uu
2022-03-02T08:25:33.190Z,44.2873333,-110.4586667,5.42,0.57,md,8.0,196.0,0.05489,0.08,uu,uu60483887,2022-03-02T17:50:59.740Z,"66 km SE of West Yellowstone, Montana",earthquake,0.53,1.27,0.21,7.0,reviewed,uu,uu
2022-03-02T18:10:15.260Z,38.7980003,-122.7975006,0.75,0.84,md,6.0,162.0,0.008902,0.02,nc,nc73700091,2022-03-02T18:11:50.280Z,"4km WNW of The Geysers, CA",earthquake,0.79,1.14,,1.0,automatic,nc,nc
2022-03-02T18:03:29.820Z,18.950834274292,-155.449005126953,11.7399997711182,1.72,ml,10.0,271.0,,0.289999992,hv,hv72935147,2022-03-02T18:09:00.780Z,"18 km SE of Naalehu, Hawaii",earthquake,3.41,2.51999998,3.88,4.0,automatic,hv,hv
2022-03-02T18:03:11.750Z,38.8411674,-122.8054962,0.59,0.36,md,8.0,104.0,0.01215,0.01,nc,nc73700086,2022-03-02T18:11:10.591Z,"7km WNW of Cobb, CA",earthquake,0.3,1.09,,1.0,automatic,nc,nc
2022-03-02T18:02:51.920Z,38.8408318,-122.8054962,-0.01,1.08,md,15.0,61.0,0.01208,0.02,nc,nc73700081,2022-03-02T18:11:11.591Z,"7km WNW of Cobb, CA",earthquake,0.21,0.57,0.13,2.0,automatic,nc,nc
2022-03-02T12:04:35.580Z,44.2831667,-110.455,4.53,2.1,ml,12.0,159.0,0.05572,0.09,uu,uu60483902,2022-03-02T18:05:54.690Z,"66 km SE of West Yellowstone, Montana",earthquake,0.36,0.45,0.373,2.0,reviewed,uu,uu
2022-03-02T12:04:07.550Z,44.285,-110.4501667,6.96,1.04,md,8.0,187.0,0.05961,0.09,uu,uu60483907,2022-03-02T18:10:03.580Z,"66 km SE of West Yellowstone, Montana",earthquake,0.49,0.6,0.216,8.0,reviewed,uu,uu
2022-03-02T18:15:22.524Z,38.1613,-117.8382,11.5,0.7,ml,8.0,180.78,0.098,0.0826,nn,nn00834764,2022-03-02T18:19:09.528Z,"34 km SE of Mina, Nevada",earthquake,,1.4,0.37,4.0,automatic,nn,nn
2022-03-02T18:11:48.620Z,36.0821667,-117.8348333,1.01,0.91,ml,9.0,155.0,0.03888,0.14,ci,ci40198048,2022-03-02T18:15:17.772Z,"11km ENE of Coso Junction, CA",earthquake,0.47,0.41,0.136,8.0,automatic,ci,ci
2022-03-02T18:11:11.980Z,33.0656667,-115.5918333,9.71,1.42,ml,18.0,61.0,0.02857,0.19,ci,ci40198040,2022-03-02T18:14:43.317Z,"4km NE of Westmorland, CA",earthquake,0.41,0.74,0.198,24.0,automatic,ci,ci
2022-03-02T15:24:29.880Z,18.0388333333333,-65.4273333333333,17.06,2.14,md,3.0,258.0,,0.07,pr,pr71338568,2022-03-02T18:19:02.300Z,"7 km SE of Esperanza, Puerto Rico",earthquake,1.48,0.92,0.0815584352828003,3.0,reviewed,pr,pr
2022-03-02T12:09:17.820Z,44.2923333,-110.4558333,4.35,0.5,md,9.0,170.0,0.05897,0.08,uu,uu60483912,2022-03-02T18:16:17.940Z,"65 km SE of West Yellowstone, Montana",earthquake,0.3,0.78,0.24,6.0,reviewed,uu,uu
2022-03-02T12:08:43.720Z,44.2903333,-110.4626667,4.2,0.65,md,7.0,169.0,0.0537,0.13,uu,uu60483917,2022-03-02T18:14:12.300Z,"65 km SE of West Yellowstone, Montana",earthquake,0.46,1.1,0.246,5.0,reviewed,uu,uu
2022-03-02T18:32:21.860Z,34.0376667,-116.317,9.09,1.25,ml,31.0,62.0,0.06828,0.22,ci,ci40198088,2022-03-02T18:42:58.690Z,"11km S of Joshua Tree, CA",earthquake,0.35,0.84,0.222,27.0,automatic,ci,ci
2022-03-02T01:59:38.920Z,46.85033333333333,-121.758,2.42,-0.26,md,6.0,168.0,0.02261,0.06,uw,uw61819751,2022-03-02T18:40:40.590Z,"23 km ENE of Ashford, Washington",earthquake,0.34,0.77,0.3165178548951035,6.0,reviewed,uw,uw
2022-03-02T00:51:51.600Z,47.338166666666666,-123.20566666666669,14.79,1.3,ml,13.0,76.0,0.08958,0.18,uw,uw61819726,2022-03-02T18:35:44.310Z,"3 km W of Skokomish, Washington",earthquake,0.41,0.79,0.1878535177825038,2.0,reviewed,uw,uw
